@Relation EEGDataTesting_24

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4278.46,3941.54,4246.67,4086.15,4321.54,4603.08,4094.87,4632.82,4212.82,4244.62,4241.54,4307.18,4654.87,4363.08,3970.23,4105.04,4046.3,4094.57,4174.34,4143.32,4119.13,4042.16,4186.09,4184.64,1
4276.92,3972.31,4248.21,4104.62,4324.62,4615.38,4083.08,4616.41,4207.18,4232.31,4196.41,4274.87,4585.13,4335.9,3986.28,4074.09,4000.53,4034.85,3999.88,4122.47,3972.34,3967.06,3952.31,3950.03,0
4293.85,4003.08,4262.56,4125.13,4329.23,4613.85,4073.33,4592.31,4188.72,4231.28,4188.72,4274.36,4590.26,4365.13,4045.13,4170.02,3980.4,4031.84,3957.14,4187.35,4083.81,4191.88,3961.2,3992.24,0
4364.1,3984.1,4263.08,4120.51,4352.31,4610.77,4071.79,4602.05,4191.79,4246.15,4222.56,4293.33,4638.46,4425.13,3954.53,4118.04,4108.77,4187.14,4016.61,3955.89,4131.21,3990.81,4059.83,4162.98,1
4304.1,4007.18,4248.21,4111.79,4324.1,4600.51,4057.95,4590.77,4185.13,4221.03,4188.72,4271.28,4607.18,4372.82,4083.88,4124.17,4054.11,4124.92,4008.81,4113.67,3978.83,3963.31,4115.46,4016.79,1
4306.67,4011.28,4274.87,4113.33,4347.69,4623.59,4078.97,4617.95,4210.26,4239.49,4222.05,4287.18,4614.36,4372.31,4069.93,4121.4,4084.54,3972.96,4106.1,4110.8,4197.53,3994.1,4047.22,4039.49,0
4314.36,4005.64,4259.49,4123.59,4345.13,4588.21,4092.31,4612.82,4206.67,4222.56,4209.74,4272.31,4624.62,4381.54,4112.89,4151.07,4160.79,4086.8,4146.41,4092.63,4051.79,4053.84,4093.42,4132.66,0
4310.26,4003.59,4248.21,4119.49,4319.49,4602.05,4069.74,4600.51,4182.05,4214.87,4184.62,4269.74,4597.95,4380.51,4065.36,3979.81,4041.92,4113.21,4081.6,4007.88,4097.22,4051.91,4143.71,4115.92,1
4267.18,3986.15,4239.49,4107.18,4345.13,4611.79,4067.69,4601.54,4190.77,4222.05,4194.36,4267.69,4601.54,4340,4089.21,4147.96,3983.34,4197.47,4001.5,3982.03,4043.68,4081.19,4098.69,4147.83,1
4285.13,4000.51,4260,4106.15,4331.28,4606.67,4052.31,4606.15,4181.03,4227.69,4198.46,4269.74,4590.77,4344.62,4149.87,4064.9,3960.68,4050.77,3963.43,4178.22,3982.76,4068.02,4079.2,4177.66,1
