@Relation EEGDataTesting_44

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE Feature25 NUMERIC
@ATTRIBUTE Feature26 NUMERIC
@ATTRIBUTE Feature27 NUMERIC
@ATTRIBUTE Feature28 NUMERIC
@ATTRIBUTE Feature29 NUMERIC
@ATTRIBUTE Feature30 NUMERIC
@ATTRIBUTE Feature31 NUMERIC
@ATTRIBUTE Feature32 NUMERIC
@ATTRIBUTE Feature33 NUMERIC
@ATTRIBUTE Feature34 NUMERIC
@ATTRIBUTE Feature35 NUMERIC
@ATTRIBUTE Feature36 NUMERIC
@ATTRIBUTE Feature37 NUMERIC
@ATTRIBUTE Feature38 NUMERIC
@ATTRIBUTE Feature39 NUMERIC
@ATTRIBUTE Feature40 NUMERIC
@ATTRIBUTE Feature41 NUMERIC
@ATTRIBUTE Feature42 NUMERIC
@ATTRIBUTE Feature43 NUMERIC
@ATTRIBUTE Feature44 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4278.46,3941.54,4246.67,4086.15,4321.54,4603.08,4094.87,4632.82,4212.82,4244.62,4241.54,4307.18,4654.87,4363.08,3970.23,4105.04,4046.3,4094.57,4174.34,4143.32,4119.13,4042.16,4186.09,4184.64,3996.03,4158.73,4134.12,4131.23,4030.39,4068.87,3970.99,4013.88,4066.92,4080.51,4133.23,4178.54,4173.05,4197.6,4040.15,3963.0,4115.21,4064.15,4051.28,4178.64,1
4276.92,3972.31,4248.21,4104.62,4324.62,4615.38,4083.08,4616.41,4207.18,4232.31,4196.41,4274.87,4585.13,4335.9,3986.28,4074.09,4000.53,4034.85,3999.88,4122.47,3972.34,3967.06,3952.31,3950.03,4097.31,3982.92,4160.38,4091.22,4107.84,4092.34,3972.14,3989.6,3953.53,4050.67,4067.97,3974.26,3983.25,4016.91,4040.68,3963.48,4144.36,4183.97,4131.02,4139.22,0
4293.85,4003.08,4262.56,4125.13,4329.23,4613.85,4073.33,4592.31,4188.72,4231.28,4188.72,4274.36,4590.26,4365.13,4045.13,4170.02,3980.4,4031.84,3957.14,4187.35,4083.81,4191.88,3961.2,3992.24,3997.55,4167.71,4185.03,4045.08,4035.05,4080.03,4030.91,3953.59,4128.83,4197.61,4115.8,4046.96,3986.22,4154.07,3983.76,4025.73,4151.01,4126.82,3987.74,4198.85,0
4364.1,3984.1,4263.08,4120.51,4352.31,4610.77,4071.79,4602.05,4191.79,4246.15,4222.56,4293.33,4638.46,4425.13,3954.53,4118.04,4108.77,4187.14,4016.61,3955.89,4131.21,3990.81,4059.83,4162.98,3983.23,4008.11,4050.33,4182.77,4083.02,4108.11,4134.05,4013.21,3957.81,4067.26,4106.9,3964.41,3959.27,4002.68,4164.41,3953.93,4083.39,4108.59,4068.44,4071.57,1
4304.1,4007.18,4248.21,4111.79,4324.1,4600.51,4057.95,4590.77,4185.13,4221.03,4188.72,4271.28,4607.18,4372.82,4083.88,4124.17,4054.11,4124.92,4008.81,4113.67,3978.83,3963.31,4115.46,4016.79,3976.38,4191.43,3976.23,3980.67,3975.22,4131.96,4115.11,4197.45,4177.45,4137.09,4160.19,4008.99,4100.82,4137.68,4035.25,4158.98,4087.46,4117.89,4173.1,4060.36,1
4306.67,4011.28,4274.87,4113.33,4347.69,4623.59,4078.97,4617.95,4210.26,4239.49,4222.05,4287.18,4614.36,4372.31,4069.93,4121.4,4084.54,3972.96,4106.1,4110.8,4197.53,3994.1,4047.22,4039.49,4041.19,4100.46,4165.91,4120.68,4010.09,4094.75,4159.53,4079.54,3963.79,4017.86,3975.61,4105.2,4060.0,4150.39,4151.81,3964.34,4032.07,3975.5,4142.21,4143.92,0
4314.36,4005.64,4259.49,4123.59,4345.13,4588.21,4092.31,4612.82,4206.67,4222.56,4209.74,4272.31,4624.62,4381.54,4112.89,4151.07,4160.79,4086.8,4146.41,4092.63,4051.79,4053.84,4093.42,4132.66,4075.71,3994.61,4114.99,4118.92,3951.59,4054.96,4137.87,4045.87,4038.05,4115.96,3962.23,4019.79,4096.68,3982.58,4028.03,4198.98,4168.29,4161.5,4188.01,4012.21,0
4310.26,4003.59,4248.21,4119.49,4319.49,4602.05,4069.74,4600.51,4182.05,4214.87,4184.62,4269.74,4597.95,4380.51,4065.36,3979.81,4041.92,4113.21,4081.6,4007.88,4097.22,4051.91,4143.71,4115.92,4115.99,3996.86,3957.31,4013.45,4032.92,4060.5,4122.06,4105.18,4044.36,4181.27,4180.13,4035.38,4066.45,3982.96,4048.07,4108.07,3959.99,4108.68,4168.65,4167.29,1
4267.18,3986.15,4239.49,4107.18,4345.13,4611.79,4067.69,4601.54,4190.77,4222.05,4194.36,4267.69,4601.54,4340,4089.21,4147.96,3983.34,4197.47,4001.5,3982.03,4043.68,4081.19,4098.69,4147.83,4114.23,4115.13,4002.4,3962.18,3984.53,4015.34,4117.6,4163.42,4107.17,3953.2,3990.33,3951.87,3977.85,4087.32,3960.29,3996.36,4007.55,4122.74,4075.4,4036.92,1
4285.13,4000.51,4260,4106.15,4331.28,4606.67,4052.31,4606.15,4181.03,4227.69,4198.46,4269.74,4590.77,4344.62,4149.87,4064.9,3960.68,4050.77,3963.43,4178.22,3982.76,4068.02,4079.2,4177.66,3960.56,4021.99,4039.72,3981.05,4182.16,4146.76,4130.05,4027.12,4039.01,4135.77,3957.36,4060.19,4090.13,3963.36,4127.27,4181.63,4098.78,4155.34,4000.89,3981.84,1
