@Relation EEGDataTesting_84

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE Feature25 NUMERIC
@ATTRIBUTE Feature26 NUMERIC
@ATTRIBUTE Feature27 NUMERIC
@ATTRIBUTE Feature28 NUMERIC
@ATTRIBUTE Feature29 NUMERIC
@ATTRIBUTE Feature30 NUMERIC
@ATTRIBUTE Feature31 NUMERIC
@ATTRIBUTE Feature32 NUMERIC
@ATTRIBUTE Feature33 NUMERIC
@ATTRIBUTE Feature34 NUMERIC
@ATTRIBUTE Feature35 NUMERIC
@ATTRIBUTE Feature36 NUMERIC
@ATTRIBUTE Feature37 NUMERIC
@ATTRIBUTE Feature38 NUMERIC
@ATTRIBUTE Feature39 NUMERIC
@ATTRIBUTE Feature40 NUMERIC
@ATTRIBUTE Feature41 NUMERIC
@ATTRIBUTE Feature42 NUMERIC
@ATTRIBUTE Feature43 NUMERIC
@ATTRIBUTE Feature44 NUMERIC
@ATTRIBUTE Feature45 NUMERIC
@ATTRIBUTE Feature46 NUMERIC
@ATTRIBUTE Feature47 NUMERIC
@ATTRIBUTE Feature48 NUMERIC
@ATTRIBUTE Feature49 NUMERIC
@ATTRIBUTE Feature50 NUMERIC
@ATTRIBUTE Feature51 NUMERIC
@ATTRIBUTE Feature52 NUMERIC
@ATTRIBUTE Feature53 NUMERIC
@ATTRIBUTE Feature54 NUMERIC
@ATTRIBUTE Feature55 NUMERIC
@ATTRIBUTE Feature56 NUMERIC
@ATTRIBUTE Feature57 NUMERIC
@ATTRIBUTE Feature58 NUMERIC
@ATTRIBUTE Feature59 NUMERIC
@ATTRIBUTE Feature60 NUMERIC
@ATTRIBUTE Feature61 NUMERIC
@ATTRIBUTE Feature62 NUMERIC
@ATTRIBUTE Feature63 NUMERIC
@ATTRIBUTE Feature64 NUMERIC
@ATTRIBUTE Feature65 NUMERIC
@ATTRIBUTE Feature66 NUMERIC
@ATTRIBUTE Feature67 NUMERIC
@ATTRIBUTE Feature68 NUMERIC
@ATTRIBUTE Feature69 NUMERIC
@ATTRIBUTE Feature70 NUMERIC
@ATTRIBUTE Feature71 NUMERIC
@ATTRIBUTE Feature72 NUMERIC
@ATTRIBUTE Feature73 NUMERIC
@ATTRIBUTE Feature74 NUMERIC
@ATTRIBUTE Feature75 NUMERIC
@ATTRIBUTE Feature76 NUMERIC
@ATTRIBUTE Feature77 NUMERIC
@ATTRIBUTE Feature78 NUMERIC
@ATTRIBUTE Feature79 NUMERIC
@ATTRIBUTE Feature80 NUMERIC
@ATTRIBUTE Feature81 NUMERIC
@ATTRIBUTE Feature82 NUMERIC
@ATTRIBUTE Feature83 NUMERIC
@ATTRIBUTE Feature84 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4278.46,3941.54,4246.67,4086.15,4321.54,4603.08,4094.87,4632.82,4212.82,4244.62,4241.54,4307.18,4654.87,4363.08,3970.23,4105.04,4046.3,4094.57,4174.34,4143.32,4119.13,4042.16,4186.09,4184.64,3996.03,4158.73,4134.12,4131.23,4030.39,4068.87,3970.99,4013.88,4066.92,4080.51,4133.23,4178.54,4173.05,4197.6,4040.15,3963.0,4115.21,4064.15,4051.28,4178.64,4171.93,4174.81,4186.96,3985.48,3960.66,4175.18,4165.91,4043.8,4026.74,4117.26,3961.62,4148.46,4189.11,4010.02,3952.43,4185.75,4165.32,4103.32,4000.55,4116.71,4007.65,4067.32,4151.39,4175.62,4163.33,4043.53,4150.53,3994.43,4012.88,3960.68,4054.4,4142.82,4110.46,4032.78,4043.64,4145.39,4101.22,4078.35,4059.53,4028.53,1
4276.92,3972.31,4248.21,4104.62,4324.62,4615.38,4083.08,4616.41,4207.18,4232.31,4196.41,4274.87,4585.13,4335.9,3986.28,4074.09,4000.53,4034.85,3999.88,4122.47,3972.34,3967.06,3952.31,3950.03,4097.31,3982.92,4160.38,4091.22,4107.84,4092.34,3972.14,3989.6,3953.53,4050.67,4067.97,3974.26,3983.25,4016.91,4040.68,3963.48,4144.36,4183.97,4131.02,4139.22,4159.17,4149.14,4160.21,4097.86,4135.09,3999.69,4173.37,4089.95,4137.07,4107.49,4027.11,4144.99,4084.01,4062.64,3975.99,4120.94,4075.64,4012.68,4039.53,4012.44,4132.35,4070.03,4037.9,4054.55,4047.19,4025.65,4183.88,4041.21,3971.54,4097.81,4066.69,4190.93,4197.92,4015.29,4036.44,4076.61,3989.66,3968.59,4179.95,4057.48,0
4293.85,4003.08,4262.56,4125.13,4329.23,4613.85,4073.33,4592.31,4188.72,4231.28,4188.72,4274.36,4590.26,4365.13,4045.13,4170.02,3980.4,4031.84,3957.14,4187.35,4083.81,4191.88,3961.2,3992.24,3997.55,4167.71,4185.03,4045.08,4035.05,4080.03,4030.91,3953.59,4128.83,4197.61,4115.8,4046.96,3986.22,4154.07,3983.76,4025.73,4151.01,4126.82,3987.74,4198.85,4084.7,4124.2,4106.09,4091.25,4100.52,4134.82,4008.87,4095.56,3985.03,4180.74,3983.04,4095.45,3976.0,4181.62,4199.26,3982.19,4019.08,4086.0,4141.7,3950.32,4014.79,4045.75,4041.03,3964.51,4019.22,4189.22,4165.38,4059.98,3968.9,3991.57,4107.1,4038.28,4019.0,4108.72,4101.2,4124.74,3983.89,4083.07,4161.54,4197.44,0
4364.1,3984.1,4263.08,4120.51,4352.31,4610.77,4071.79,4602.05,4191.79,4246.15,4222.56,4293.33,4638.46,4425.13,3954.53,4118.04,4108.77,4187.14,4016.61,3955.89,4131.21,3990.81,4059.83,4162.98,3983.23,4008.11,4050.33,4182.77,4083.02,4108.11,4134.05,4013.21,3957.81,4067.26,4106.9,3964.41,3959.27,4002.68,4164.41,3953.93,4083.39,4108.59,4068.44,4071.57,4000.24,4001.73,4023.82,4019.99,3995.25,3992.38,4139.45,4124.09,4174.94,4188.69,4172.77,3988.4,4002.15,4011.62,4162.82,4113.87,3976.89,3978.36,3988.38,4191.66,4135.17,4180.04,4022.2,4107.23,4167.31,3950.68,4032.34,4107.05,3977.8,4154.04,4106.09,4102.84,4012.86,4048.28,4170.97,4066.7,4179.39,3967.52,4040.67,3954.25,1
4304.1,4007.18,4248.21,4111.79,4324.1,4600.51,4057.95,4590.77,4185.13,4221.03,4188.72,4271.28,4607.18,4372.82,4083.88,4124.17,4054.11,4124.92,4008.81,4113.67,3978.83,3963.31,4115.46,4016.79,3976.38,4191.43,3976.23,3980.67,3975.22,4131.96,4115.11,4197.45,4177.45,4137.09,4160.19,4008.99,4100.82,4137.68,4035.25,4158.98,4087.46,4117.89,4173.1,4060.36,4097.24,4021.48,4021.77,4005.43,4186.55,4181.32,4099.64,4048.07,3978.05,4107.42,4163.47,3970.55,4112.17,3959.37,4038.4,4171.47,4067.5,4057.99,4140.89,4174.3,3978.91,3966.75,4075.42,4148.88,4032.4,4032.48,4072.8,4007.28,4128.03,3994.11,4048.83,4021.86,4063.1,4124.04,3956.98,4156.91,4015.61,4073.76,4010.64,4175.6,1
4306.67,4011.28,4274.87,4113.33,4347.69,4623.59,4078.97,4617.95,4210.26,4239.49,4222.05,4287.18,4614.36,4372.31,4069.93,4121.4,4084.54,3972.96,4106.1,4110.8,4197.53,3994.1,4047.22,4039.49,4041.19,4100.46,4165.91,4120.68,4010.09,4094.75,4159.53,4079.54,3963.79,4017.86,3975.61,4105.2,4060.0,4150.39,4151.81,3964.34,4032.07,3975.5,4142.21,4143.92,4058.8,4018.93,4008.51,4106.23,4087.34,3975.25,4163.76,4038.76,4007.95,4075.1,4011.08,4170.21,4021.55,4184.72,4195.83,4023.95,3969.55,4165.03,4086.08,4153.71,4123.94,4032.33,3967.86,4090.33,4074.61,3959.92,4126.17,4102.84,4090.79,4146.6,4121.86,4074.76,4191.36,4003.72,3963.52,4177.69,4120.16,4131.31,4182.03,4134.25,0
4314.36,4005.64,4259.49,4123.59,4345.13,4588.21,4092.31,4612.82,4206.67,4222.56,4209.74,4272.31,4624.62,4381.54,4112.89,4151.07,4160.79,4086.8,4146.41,4092.63,4051.79,4053.84,4093.42,4132.66,4075.71,3994.61,4114.99,4118.92,3951.59,4054.96,4137.87,4045.87,4038.05,4115.96,3962.23,4019.79,4096.68,3982.58,4028.03,4198.98,4168.29,4161.5,4188.01,4012.21,4161.52,4021.11,3983.64,3951.35,4163.57,4135.81,4164.67,4045.11,4191.28,4080.86,4011.53,3953.62,3990.19,4105.01,4017.48,4091.94,4038.69,4015.54,4197.31,4147.04,4124.07,4077.14,4193.75,4069.61,4094.26,4119.64,4045.23,3984.48,4075.02,4133.76,4119.8,4125.81,3988.23,4099.0,4192.12,4006.08,4147.58,4149.15,4049.48,4110.36,0
4310.26,4003.59,4248.21,4119.49,4319.49,4602.05,4069.74,4600.51,4182.05,4214.87,4184.62,4269.74,4597.95,4380.51,4065.36,3979.81,4041.92,4113.21,4081.6,4007.88,4097.22,4051.91,4143.71,4115.92,4115.99,3996.86,3957.31,4013.45,4032.92,4060.5,4122.06,4105.18,4044.36,4181.27,4180.13,4035.38,4066.45,3982.96,4048.07,4108.07,3959.99,4108.68,4168.65,4167.29,3972.89,4040.76,4006.48,4032.71,3950.08,4140.66,4112.44,4051.75,4049.65,4177.38,4076.73,4067.36,4124.48,3963.51,4063.58,3978.68,3994.8,4085.0,3952.93,4168.48,4170.58,4113.42,4164.1,4086.25,4049.95,4072.88,3958.85,4004.62,4053.06,4119.91,4164.61,4173.95,4184.83,4134.79,4149.12,3963.42,4032.88,4189.89,4124.86,3950.09,1
4267.18,3986.15,4239.49,4107.18,4345.13,4611.79,4067.69,4601.54,4190.77,4222.05,4194.36,4267.69,4601.54,4340,4089.21,4147.96,3983.34,4197.47,4001.5,3982.03,4043.68,4081.19,4098.69,4147.83,4114.23,4115.13,4002.4,3962.18,3984.53,4015.34,4117.6,4163.42,4107.17,3953.2,3990.33,3951.87,3977.85,4087.32,3960.29,3996.36,4007.55,4122.74,4075.4,4036.92,4001.33,4163.78,4185.19,4122.79,3963.42,4176.62,4030.25,4023.14,3988.44,4023.65,3959.58,3960.32,4073.35,4132.08,4158.46,3955.15,4000.07,4098.82,4144.33,4067.59,4042.7,3959.2,4113.97,3982.68,4138.93,4184.63,4198.95,4118.09,4048.47,3987.18,4170.28,4117.91,4112.43,4179.73,4167.44,4177.35,4146.54,4043.54,3990.0,3984.04,1
4285.13,4000.51,4260,4106.15,4331.28,4606.67,4052.31,4606.15,4181.03,4227.69,4198.46,4269.74,4590.77,4344.62,4149.87,4064.9,3960.68,4050.77,3963.43,4178.22,3982.76,4068.02,4079.2,4177.66,3960.56,4021.99,4039.72,3981.05,4182.16,4146.76,4130.05,4027.12,4039.01,4135.77,3957.36,4060.19,4090.13,3963.36,4127.27,4181.63,4098.78,4155.34,4000.89,3981.84,4013.0,3959.94,4107.74,4001.72,3980.25,3959.02,4081.71,4159.65,4062.83,4049.29,4095.03,4051.97,4075.04,4147.83,4094.28,4018.55,4103.52,4162.43,4057.87,4066.25,4154.29,4050.78,4091.91,4154.92,4113.7,4167.95,4104.09,4011.15,4111.65,4088.34,3978.91,4030.63,3964.25,3971.69,4119.06,3958.52,4181.12,4113.33,4018.06,4101.1,1
