@Relation EEG_Data_Training

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4311.79, 4016.41, 4247.18, 4125.64, 4342.56, 4631.28, 4076.41, 4601.03, 4197.44, 4245.13, 4205.13, 4284.1, 4607.69, 4381.03, 0
4317.44, 3994.36, 4264.62, 4116.41, 4319.49, 4615.9, 4070.77, 4636.41, 4216.41, 4239.49, 4199.49, 4286.15, 4589.74, 4373.85, 1
4295.38, 4000, 4261.54, 4116.41, 4333.85, 4622.05, 4065.13, 4617.44, 4211.28, 4241.03, 4209.23, 4288.72, 4602.56, 4359.49, 0
4331.79, 4047.18, 4275.38, 4125.13, 4358.97, 4628.21, 4107.18, 4623.08, 4220.51, 4235.9, 4229.23, 4296.92, 4632.31, 4386.67, 1
4288.72, 4000, 4255.9, 4110.26, 4346.67, 4627.18, 4094.87, 4621.03, 4202.05, 4234.36, 4196.41, 4261.03, 4607.69, 4345.13, 1
4300.51, 4021.54, 4266.67, 4124.1, 4335.9, 4613.33, 4073.33, 4604.62, 4206.15, 4247.18, 4190.26, 4278.97, 4607.69, 4366.67, 0
4288.21, 4017.44, 4264.1, 4107.69, 4329.23, 4621.03, 4087.18, 4606.67, 4198.97, 4214.36, 4186.15, 4271.28, 4574.36, 4356.41, 0
4313.85, 4018.97, 4264.62, 4124.1, 4344.1, 4618.97, 4064.1, 4631.28, 4215.38, 4250.26, 4183.59, 4277.95, 4618.97, 4365.13, 1
4223.08, 3969.74, 4222.56, 4102.05, 4331.28, 4617.44, 4073.85, 4601.03, 4185.64, 4216.92, 4175.9, 4250.26, 4546.15, 4282.56, 0
4348.72, 4002.05, 4261.54, 4137.95, 4347.69, 4603.59, 4061.54, 4592.31, 4188.72, 4225.64, 4194.36, 4278.46, 4585.64, 4382.56, 1
4255.38, 3974.87, 4248.21, 4105.13, 4334.87, 4635.9, 4097.44, 4638.97, 4220.51, 4230.77, 4195.38, 4275.38, 4580.51, 4340.51, 0
4298.97, 4011.28, 4257.44, 4116.41, 4349.74, 4568.21, 4097.95, 4617.95, 4204.62, 4242.05, 4205.64, 4276.92, 4602.05, 4355.9, 0
4282.56, 4008.72, 4251.79, 4109.23, 4340, 4612.82, 4048.21, 4595.38, 4181.54, 4225.64, 4207.18, 4280.51, 4627.18, 4345.64, 1
4294.36, 4030.26, 4263.59, 4137.95, 4341.03, 4625.13, 4084.1, 4620, 4199.49, 4235.9, 4204.1, 4278.97, 4609.74, 4351.28, 1
4299.49, 3966.67, 4254.87, 4091.28, 4320.51, 4609.74, 4065.64, 4622.56, 4206.67, 4236.41, 4209.74, 4287.69, 4597.95, 4373.33, 1
4296.41, 4016.92, 4263.08, 4117.95, 4333.33, 4616.92, 4089.74, 4605.13, 4188.21, 4214.87, 4181.54, 4273.85, 4578.46, 4352.82, 0
4283.08, 3993.85, 4248.21, 4102.05, 4335.9, 4600, 4065.64, 4587.69, 4177.95, 4214.36, 4191.79, 4275.38, 4613.85, 4353.85, 1
4324.1, 4023.08, 4275.9, 4135.38, 4333.85, 4616.92, 4082.56, 4631.28, 4212.82, 4231.79, 4195.9, 4285.64, 4593.33, 4379.49, 0
4296.41, 4003.59, 4262.56, 4126.15, 4329.23, 4618.46, 4077.44, 4601.54, 4190.26, 4235.9, 4190.77, 4283.08, 4589.74, 4369.74, 0
4378.46, 4025.13, 4283.59, 4122.05, 4322.05, 4609.23, 4056.41, 4615.38, 4196.41, 4230.77, 4233.85, 4307.69, 4650.77, 4448.21, 1
4274.36, 3984.1, 4251.79, 4116.41, 4329.23, 4598.97, 4041.54, 4618.46, 4192.31, 4213.33, 4199.49, 4271.79, 4588.21, 4342.05, 1
4322.56, 4052.31, 4282.05, 4152.82, 4356.92, 4638.46, 4072.31, 4612.31, 4204.62, 4251.28, 4216.41, 4287.18, 4616.92, 4385.13, 1
4276.41, 4001.54, 4248.21, 4092.31, 4336.41, 4605.64, 4042.05, 4587.69, 4175.38, 4212.82, 4189.74, 4267.69, 4611.28, 4330.77, 1
4322.05, 4004.1, 4282.05, 4112.82, 4336.92, 4618.46, 4071.28, 4625.13, 4214.87, 4247.69, 4211.79, 4286.67, 4606.67, 4373.33, 1
4324.1, 4032.31, 4267.18, 4125.64, 4345.13, 4632.31, 4082.05, 4610.26, 4203.59, 4240, 4209.74, 4299.49, 4606.67, 4388.21, 0
4301.54, 3999.49, 4254.87, 4125.64, 4329.74, 4617.95, 4070.26, 4605.64, 4200, 4231.28, 4205.13, 4285.13, 4610.77, 4355.38, 0
4280, 4003.59, 4250.26, 4124.62, 4341.03, 4617.95, 4057.44, 4615.9, 4191.28, 4225.13, 4157.95, 4253.85, 4594.87, 4331.79, 1
