@Relation EEGDataTraining_24

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4311.79,4016.41,4247.18,4125.64,4342.56,4631.28,4076.41,4601.03,4197.44,4245.13,4205.13,4284.1,4607.69,4381.03,4171.52,4131.85,4176.48,4031.62,4062.58,4122.12,4163.24,3953.23,4050.11,4162.32,0
4317.44,3994.36,4264.62,4116.41,4319.49,4615.9,4070.77,4636.41,4216.41,4239.49,4199.49,4286.15,4589.74,4373.85,4043.72,3986.71,3997.38,4166.14,3969.24,3997.27,4056.84,4033.38,4068.13,4058.86,1
4295.38,4000,4261.54,4116.41,4333.85,4622.05,4065.13,4617.44,4211.28,4241.03,4209.23,4288.72,4602.56,4359.49,3965.35,3976.24,4015.67,4141.28,4022.69,3978.21,4154.93,4015.28,4172.6,4135.4,0
4331.79,4047.18,4275.38,4125.13,4358.97,4628.21,4107.18,4623.08,4220.51,4235.9,4229.23,4296.92,4632.31,4386.67,4156.81,3993.84,4095.08,3991.55,4002.18,4163.48,3987.15,4094.29,3951.93,4025.79,1
4288.72,4000,4255.9,4110.26,4346.67,4627.18,4094.87,4621.03,4202.05,4234.36,4196.41,4261.03,4607.69,4345.13,4073.04,4103.62,4059.4,4058.65,4165.89,4019.74,4191.79,4156.46,3957.53,4001.8,1
4300.51,4021.54,4266.67,4124.1,4335.9,4613.33,4073.33,4604.62,4206.15,4247.18,4190.26,4278.97,4607.69,4366.67,4011.18,4133.17,4195.22,4024.89,4061.08,4194.23,4026.01,4166.61,4055.33,4094.65,0
4288.21,4017.44,4264.1,4107.69,4329.23,4621.03,4087.18,4606.67,4198.97,4214.36,4186.15,4271.28,4574.36,4356.41,4186.86,4187.18,4172.66,4099.25,4002.77,3981.73,3987.74,4150.95,4027.2,4104.53,0
4313.85,4018.97,4264.62,4124.1,4344.1,4618.97,4064.1,4631.28,4215.38,4250.26,4183.59,4277.95,4618.97,4365.13,4002.84,4084.92,4107.76,4138.27,4135.62,4033.11,4093.5,4135.83,3954.07,4062.14,1
4223.08,3969.74,4222.56,4102.05,4331.28,4617.44,4073.85,4601.03,4185.64,4216.92,4175.9,4250.26,4546.15,4282.56,4067.67,4110.49,4185.32,4007.04,4025.42,4169.01,4163.09,4006.91,4170.76,3997.3,0
4348.72,4002.05,4261.54,4137.95,4347.69,4603.59,4061.54,4592.31,4188.72,4225.64,4194.36,4278.46,4585.64,4382.56,3993.28,4016.84,4111.79,4084.83,4097.99,4159.93,4053.18,4188.37,4184.89,4034.59,1
4255.38,3974.87,4248.21,4105.13,4334.87,4635.9,4097.44,4638.97,4220.51,4230.77,4195.38,4275.38,4580.51,4340.51,3989.28,4175.58,4023.26,4047.89,4179.86,3993.3,4162.2,4098.77,4093.12,4143.97,0
