@Relation EEGDataTraining_74

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE Feature15 NUMERIC
@ATTRIBUTE Feature16 NUMERIC
@ATTRIBUTE Feature17 NUMERIC
@ATTRIBUTE Feature18 NUMERIC
@ATTRIBUTE Feature19 NUMERIC
@ATTRIBUTE Feature20 NUMERIC
@ATTRIBUTE Feature21 NUMERIC
@ATTRIBUTE Feature22 NUMERIC
@ATTRIBUTE Feature23 NUMERIC
@ATTRIBUTE Feature24 NUMERIC
@ATTRIBUTE Feature25 NUMERIC
@ATTRIBUTE Feature26 NUMERIC
@ATTRIBUTE Feature27 NUMERIC
@ATTRIBUTE Feature28 NUMERIC
@ATTRIBUTE Feature29 NUMERIC
@ATTRIBUTE Feature30 NUMERIC
@ATTRIBUTE Feature31 NUMERIC
@ATTRIBUTE Feature32 NUMERIC
@ATTRIBUTE Feature33 NUMERIC
@ATTRIBUTE Feature34 NUMERIC
@ATTRIBUTE Feature35 NUMERIC
@ATTRIBUTE Feature36 NUMERIC
@ATTRIBUTE Feature37 NUMERIC
@ATTRIBUTE Feature38 NUMERIC
@ATTRIBUTE Feature39 NUMERIC
@ATTRIBUTE Feature40 NUMERIC
@ATTRIBUTE Feature41 NUMERIC
@ATTRIBUTE Feature42 NUMERIC
@ATTRIBUTE Feature43 NUMERIC
@ATTRIBUTE Feature44 NUMERIC
@ATTRIBUTE Feature45 NUMERIC
@ATTRIBUTE Feature46 NUMERIC
@ATTRIBUTE Feature47 NUMERIC
@ATTRIBUTE Feature48 NUMERIC
@ATTRIBUTE Feature49 NUMERIC
@ATTRIBUTE Feature50 NUMERIC
@ATTRIBUTE Feature51 NUMERIC
@ATTRIBUTE Feature52 NUMERIC
@ATTRIBUTE Feature53 NUMERIC
@ATTRIBUTE Feature54 NUMERIC
@ATTRIBUTE Feature55 NUMERIC
@ATTRIBUTE Feature56 NUMERIC
@ATTRIBUTE Feature57 NUMERIC
@ATTRIBUTE Feature58 NUMERIC
@ATTRIBUTE Feature59 NUMERIC
@ATTRIBUTE Feature60 NUMERIC
@ATTRIBUTE Feature61 NUMERIC
@ATTRIBUTE Feature62 NUMERIC
@ATTRIBUTE Feature63 NUMERIC
@ATTRIBUTE Feature64 NUMERIC
@ATTRIBUTE Feature65 NUMERIC
@ATTRIBUTE Feature66 NUMERIC
@ATTRIBUTE Feature67 NUMERIC
@ATTRIBUTE Feature68 NUMERIC
@ATTRIBUTE Feature69 NUMERIC
@ATTRIBUTE Feature70 NUMERIC
@ATTRIBUTE Feature71 NUMERIC
@ATTRIBUTE Feature72 NUMERIC
@ATTRIBUTE Feature73 NUMERIC
@ATTRIBUTE Feature74 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4311.79,4016.41,4247.18,4125.64,4342.56,4631.28,4076.41,4601.03,4197.44,4245.13,4205.13,4284.1,4607.69,4381.03,4171.52,4131.85,4176.48,4031.62,4062.58,4122.12,4163.24,3953.23,4050.11,4162.32,3979.3,3991.65,3994.56,4149.75,4131.88,4044.76,3960.76,4167.18,4101.04,4021.28,4038.64,4074.95,4186.95,4097.81,4075.13,4190.68,4163.88,3952.34,4143.05,4145.78,4014.02,4046.78,4154.55,4046.52,4153.99,4025.55,4037.47,4091.35,4135.32,4113.9,4143.15,4069.95,4199.62,4108.48,3961.77,4191.2,4049.28,4024.56,4070.46,3986.7,4032.74,4012.8,4054.15,4065.25,4164.72,4069.07,4099.9,4042.57,4088.09,4189.37,0
4317.44,3994.36,4264.62,4116.41,4319.49,4615.9,4070.77,4636.41,4216.41,4239.49,4199.49,4286.15,4589.74,4373.85,4043.72,3986.71,3997.38,4166.14,3969.24,3997.27,4056.84,4033.38,4068.13,4058.86,3974.26,4185.69,4148.88,4140.84,4024.82,4136.01,4108.9,4107.18,3952.66,4034.28,4031.14,4041.02,4114.95,4087.69,4052.96,3996.46,4163.43,4010.68,4067.7,3986.6,3979.47,4022.07,4133.21,4042.44,4009.32,4070.46,4166.08,4128.68,3959.36,3972.97,3954.79,4147.63,4010.0,4030.12,3990.37,4048.43,4114.64,4141.54,4147.94,4095.49,4144.66,4112.41,4147.81,4186.52,3974.01,3976.95,4056.3,4164.42,4096.23,4098.07,1
4295.38,4000,4261.54,4116.41,4333.85,4622.05,4065.13,4617.44,4211.28,4241.03,4209.23,4288.72,4602.56,4359.49,3965.35,3976.24,4015.67,4141.28,4022.69,3978.21,4154.93,4015.28,4172.6,4135.4,4090.22,4077.16,4095.23,3986.81,4136.36,3968.56,4020.14,4175.38,3967.28,4000.38,3950.66,4079.32,4123.88,3977.21,4059.51,4024.99,4028.78,4090.0,4132.97,4131.25,4173.67,3977.73,3981.1,4091.13,4051.91,4181.81,4194.48,4041.87,4075.29,4120.54,4179.38,4036.77,4060.54,4030.69,4082.96,4136.46,3964.19,4082.86,3979.95,4089.15,4095.5,3979.54,4150.72,4110.34,3987.23,3973.06,4115.85,4039.53,4181.75,4050.99,0
4331.79,4047.18,4275.38,4125.13,4358.97,4628.21,4107.18,4623.08,4220.51,4235.9,4229.23,4296.92,4632.31,4386.67,4156.81,3993.84,4095.08,3991.55,4002.18,4163.48,3987.15,4094.29,3951.93,4025.79,4001.9,4037.74,3983.79,4109.61,4083.38,4075.01,4013.39,4168.07,4047.86,4148.18,4041.06,4004.59,4116.1,4025.59,4171.22,4108.19,4113.55,4183.71,4056.31,4147.22,3977.92,3968.06,4122.87,4094.97,4056.67,4123.06,4005.63,4190.78,4147.77,4155.83,4194.57,4182.68,4011.67,4149.31,4177.46,4057.67,4129.11,4194.77,4087.36,4194.13,4093.85,4140.93,4021.27,3989.05,4007.36,4156.37,4014.71,4199.49,4010.72,3991.49,1
4288.72,4000,4255.9,4110.26,4346.67,4627.18,4094.87,4621.03,4202.05,4234.36,4196.41,4261.03,4607.69,4345.13,4073.04,4103.62,4059.4,4058.65,4165.89,4019.74,4191.79,4156.46,3957.53,4001.8,4143.4,4172.82,4147.19,4196.53,4049.65,4189.3,4153.56,4046.47,4114.23,4023.46,4007.63,4022.68,4113.93,4057.0,4109.69,4104.5,4111.06,4061.26,4024.45,4189.57,4023.17,4176.08,4086.1,4088.23,4177.05,3959.47,4177.52,4150.97,4038.17,4075.72,4026.67,4054.96,4075.07,3951.25,4039.73,4010.83,4061.32,4176.79,4155.73,4028.91,4132.74,4020.15,4008.36,4137.21,4171.32,4185.09,4059.64,4179.75,4057.73,4195.47,1
4300.51,4021.54,4266.67,4124.1,4335.9,4613.33,4073.33,4604.62,4206.15,4247.18,4190.26,4278.97,4607.69,4366.67,4011.18,4133.17,4195.22,4024.89,4061.08,4194.23,4026.01,4166.61,4055.33,4094.65,4018.33,4010.2,4053.86,4160.24,4026.96,4184.41,3973.09,4044.46,4154.68,4027.27,3974.04,3995.24,4144.03,4012.95,4117.46,4106.47,4141.44,4196.49,4025.83,4048.84,3957.99,3988.53,4094.49,4166.17,3958.05,4180.88,3978.58,4105.26,4071.76,3988.85,4017.4,4127.06,3986.06,4089.99,4160.63,3992.56,4013.44,4115.44,4027.98,4052.8,4015.08,4181.47,4175.03,3957.46,4152.44,4199.95,4099.24,4044.01,4056.26,4040.32,0
4288.21,4017.44,4264.1,4107.69,4329.23,4621.03,4087.18,4606.67,4198.97,4214.36,4186.15,4271.28,4574.36,4356.41,4186.86,4187.18,4172.66,4099.25,4002.77,3981.73,3987.74,4150.95,4027.2,4104.53,3964.83,4178.21,4022.56,3996.24,4109.85,4090.1,3969.16,4022.72,4001.38,4101.84,3984.14,3972.15,4055.48,4156.5,4152.72,4174.52,4172.11,4000.65,4167.81,4077.44,4083.03,4103.29,3970.69,4084.7,4141.93,3981.29,4133.99,4098.14,4198.39,4167.18,3952.89,4002.38,4153.54,4005.95,4091.55,4154.61,4145.13,4143.54,4092.15,4031.53,4168.89,3976.19,4049.09,4045.91,3966.51,4120.92,4176.28,4089.65,4059.62,4030.46,0
4313.85,4018.97,4264.62,4124.1,4344.1,4618.97,4064.1,4631.28,4215.38,4250.26,4183.59,4277.95,4618.97,4365.13,4002.84,4084.92,4107.76,4138.27,4135.62,4033.11,4093.5,4135.83,3954.07,4062.14,4135.35,4003.27,4196.99,4052.03,4182.52,4161.44,3967.04,4088.41,4159.31,4110.2,3977.35,4013.32,4190.43,3961.67,4027.58,4096.39,4005.13,4164.65,3952.54,4042.05,3951.66,4102.82,4102.16,4154.62,4043.31,4078.32,3982.23,3969.23,3978.98,4089.45,4029.1,4065.64,4032.42,4083.78,4010.5,4125.58,4007.75,4067.34,4142.11,4144.02,4015.29,3951.52,3996.96,4036.01,4083.43,4015.57,4025.51,3999.46,4094.13,3976.57,1
4223.08,3969.74,4222.56,4102.05,4331.28,4617.44,4073.85,4601.03,4185.64,4216.92,4175.9,4250.26,4546.15,4282.56,4067.67,4110.49,4185.32,4007.04,4025.42,4169.01,4163.09,4006.91,4170.76,3997.3,4016.6,4197.34,4134.53,4012.97,4088.33,4126.45,3959.76,4083.38,3957.25,4015.0,4083.73,4187.21,4015.94,4196.21,4194.42,4183.81,4080.11,4190.72,4150.2,4053.42,3971.85,3979.18,4093.63,4051.19,4040.92,4180.43,4108.82,4031.76,4156.08,3952.35,3973.97,3967.49,4075.73,4131.08,4055.92,3956.31,3950.62,4104.4,3974.42,3964.73,4140.79,4172.75,3971.51,3970.55,4131.63,3966.34,4054.07,4128.17,4044.31,4073.39,0
4348.72,4002.05,4261.54,4137.95,4347.69,4603.59,4061.54,4592.31,4188.72,4225.64,4194.36,4278.46,4585.64,4382.56,3993.28,4016.84,4111.79,4084.83,4097.99,4159.93,4053.18,4188.37,4184.89,4034.59,4048.47,4172.03,4081.81,4104.83,4053.67,4017.63,4197.64,4074.27,3965.19,3998.3,4195.0,4170.54,4000.73,4035.59,4186.65,4012.7,4071.99,4175.51,4038.23,4064.6,4053.19,4174.23,3950.85,4093.91,4151.35,4067.03,4088.3,4138.24,4145.61,4007.72,4048.78,4110.41,4166.14,4135.37,3961.62,4090.13,4053.3,4071.14,3978.38,4040.74,4193.5,4082.91,3997.96,4083.78,3986.62,3964.73,4079.2,3957.85,4110.51,3994.96,1
